Age,Gender,Year_of_Study,Course,Student_Background,Monthly_Allowance_KES,Accommodation,Distance_From_Campus_KM,Transport_Type,Outings_Per_Month,Gym_Membership,Relationship_Status,Gaming_Hours_Per_Week,Cafeteria_Visits_Per_Month,Ride_Hailing_Trips_Per_Month,Online_Shopping_Orders_Per_Month,Club_Events_Attended,Printing_Frequency,Mobile_Data_Usage_GB,Meal_Habit,Semester_Spending_KES,Spending_Category
24,Female,3,Science,Rural,5846,On-campus,9.7,Walk,4,0,0,13,4,6,8,8,7,22,Canteen,49861,Low
21,Male,1,Business,Rural,15954,On-campus,10.4,Walk,0,1,1,3,24,8,3,0,10,18,Canteen,69572,High
22,Female,1,Business,Urban,18703,On-campus,0.8,Bike,7,1,0,10,19,14,3,3,7,14,Cooking,60531,Medium
24,Male,4,Business,Urban,20385,On-campus,10.0,Car,11,0,1,19,28,14,7,0,5,10,Takeout,86198,High
20,Male,3,Business,Urban,18746,Off-campus,0.7,Car,7,1,0,14,9,13,1,5,5,46,Takeout,54503,Low
25,Male,1,Medicine,Rural,11469,On-campus,8.8,Bus,3,0,1,18,17,7,8,3,11,13,Cooking,61583,Medium
22,Male,4,Engineering,Rural,14333,Off-campus,15.0,Car,6,0,1,6,2,1,5,4,13,31,Canteen,67664,Medium
22,Female,3,Arts,Rural,21608,Off-campus,8.3,Walk,10,1,1,18,12,9,8,4,5,30,Canteen,72515,High
24,Female,4,Business,Rural,17819,On-campus,7.1,Walk,9,1,1,18,10,11,7,8,1,3,Takeout,65517,Medium
19,Male,2,Science,Rural,9208,Off-campus,4.7,Car,2,1,1,10,16,3,6,0,8,30,Takeout,50537,Low
20,Male,1,Business,Rural,11283,Off-campus,1.8,Walk,5,0,1,4,29,5,0,1,12,6,Cooking,52119,Low
24,Female,2,Science,Rural,7048,Off-campus,11.0,Bike,9,0,0,4,29,11,2,5,11,29,Takeout,72538,High
20,Male,3,Medicine,Rural,11233,Off-campus,2.9,Bike,9,1,1,21,21,1,1,4,1,8,Cooking,54726,Low
20,Male,2,Science,Rural,17941,Off-campus,1.7,Car,11,1,0,7,12,6,4,6,4,44,Takeout,60077,Medium
25,Male,2,Arts,Urban,17607,Off-campus,6.3,Bike,8,1,0,9,5,2,4,2,9,45,Takeout,55388,Low
22,Female,3,Engineering,Urban,14765,On-campus,11.9,Bike,0,1,1,5,16,12,4,2,14,43,Takeout,72184,High
21,Female,4,Science,Urban,6828,Off-campus,11.2,Bus,4,0,0,14,26,2,3,9,9,44,Canteen,65971,Medium
25,Female,2,Science,Urban,6917,Off-campus,0.8,Bus,3,1,1,15,12,10,4,1,5,33,Canteen,47701,Low
25,Male,4,Engineering,Rural,11988,Off-campus,6.8,Bike,7,0,0,16,18,1,2,2,4,17,Canteen,59364,Low
20,Male,2,Arts,Rural,23410,On-campus,7.8,Car,10,0,1,7,20,10,0,9,3,48,Takeout,85505,High
23,Female,4,Business,Urban,19594,Off-campus,9.7,Bus,11,1,0,7,18,7,4,0,3,11,Cooking,67231,Medium
22,Female,3,Science,Rural,17977,On-campus,9.8,Walk,0,1,1,24,9,5,8,4,12,13,Cooking,65974,Medium
19,Female,2,Engineering,Urban,5009,Off-campus,5.5,Walk,8,1,1,8,2,0,8,4,5,50,Cooking,49782,Low
25,Female,3,Medicine,Rural,21644,On-campus,8.4,Walk,5,0,1,1,13,11,3,6,10,11,Cooking,74832,High
21,Male,2,Engineering,Urban,14865,On-campus,7.2,Car,3,1,1,14,25,0,2,3,1,31,Canteen,59488,Low
23,Female,3,Medicine,Rural,7219,Off-campus,13.3,Bike,11,1,0,17,18,6,0,2,5,28,Canteen,73039,High
23,Male,3,Arts,Rural,12041,Off-campus,8.0,Walk,8,0,1,2,4,7,1,0,6,44,Takeout,59883,Medium
19,Female,2,Business,Urban,23444,On-campus,6.6,Car,10,1,0,16,28,4,7,7,7,6,Takeout,74848,High
25,Male,2,Engineering,Rural,10287,Off-campus,6.1,Bus,4,0,0,3,4,11,0,2,12,41,Cooking,52041,Low
21,Female,2,Science,Urban,6619,On-campus,8.6,Bike,4,1,0,3,19,10,7,1,9,16,Canteen,57835,Low
22,Female,1,Arts,Urban,13512,On-campus,12.1,Bus,11,0,1,13,16,4,6,3,3,4,Cooking,71451,High
18,Female,4,Engineering,Urban,6342,On-campus,8.1,Car,4,1,0,8,20,3,7,2,2,35,Takeout,49150,Low
21,Female,1,Science,Urban,15568,On-campus,9.9,Walk,0,1,0,8,9,13,5,0,14,48,Takeout,65262,Medium
19,Male,1,Engineering,Rural,24216,On-campus,11.1,Walk,0,0,0,24,4,5,8,2,3,56,Cooking,73731,High
23,Female,3,Medicine,Rural,24208,Off-campus,7.8,Car,7,0,1,22,3,13,2,1,12,59,Takeout,77327,High
22,Male,2,Engineering,Rural,23378,On-campus,6.4,Walk,11,1,1,17,5,5,9,7,9,26,Cooking,68716,High
21,Male,4,Engineering,Urban,19231,On-campus,13.1,Bike,7,0,0,9,25,2,3,5,12,57,Canteen,76015,High
18,Male,3,Engineering,Rural,8490,Off-campus,6.3,Car,11,0,1,20,3,8,5,8,7,12,Cooking,54709,Low
18,Male,1,Arts,Urban,14310,On-campus,6.9,Bus,5,0,1,3,29,11,7,7,9,11,Canteen,67478,Medium
20,Female,2,Engineering,Rural,12984,Off-campus,14.9,Car,11,0,0,11,6,10,4,9,13,37,Canteen,73688,High
20,Male,3,Science,Rural,22988,Off-campus,0.0,Bike,10,1,0,7,6,13,2,2,2,25,Takeout,53134,Low
24,Male,2,Medicine,Rural,17219,Off-campus,2.8,Bike,3,1,1,1,17,6,5,4,5,18,Takeout,57700,Low
19,Male,3,Medicine,Urban,5235,On-campus,5.8,Car,1,0,0,21,2,0,3,6,13,19,Takeout,45692,Low
25,Female,2,Engineering,Rural,15161,On-campus,14.0,Car,1,0,1,12,0,14,8,4,4,23,Cooking,67229,Medium
21,Female,1,Arts,Rural,6908,On-campus,1.1,Walk,8,0,1,20,23,12,2,7,2,55,Cooking,59874,Medium
21,Female,4,Arts,Urban,13567,Off-campus,0.1,Bike,4,0,1,15,24,6,3,4,9,38,Takeout,47381,Low
25,Female,1,Science,Rural,8530,On-campus,0.8,Car,3,1,1,1,3,4,6,0,9,54,Cooking,43274,Low
